 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:Jan-Ago/2020
"Município";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"150715 São Domingos do Araguaia";-;12,60;-;69897,18;76596,79;69228,91;60408,17;64795,41;63513,87;66995,75;72448,73;543897,41
"150720 São Domingos do Capim";-;-;367,30;32148,25;46110,61;36539,67;24786,37;17844,43;30151,07;44959,36;33455,25;266362,31
"150730 São Félix do Xingu";-;-;6,97;167230,05;139799,42;144158,66;125714,52;120206,76;154332,24;146720,10;119572,05;1117740,77
"150740 São Francisco do Pará";-;17,30;251,60;23612,80;28015,06;44711,38;25876,81;31923,58;27716,23;57779,61;43174,73;283079,10
"150745 São Geraldo do Araguaia";-;-;-;92416,31;92908,52;86146,18;56145,97;50091,65;63635,48;69515,41;31410,57;542270,09
"150746 São João da Ponta";-;-;4620,00;7320,47;9488,93;8960,55;8856,92;3963,83;4896,75;9118,52;4955,03;62181,00
"150747 São João de Pirabas";-;-;1194,34;73493,42;82769,67;71334,86;51423,70;54704,02;67610,87;70820,14;38362,63;511713,65
"150750 São João do Araguaia";-;-;-;17397,98;23542,68;28907,79;18285,77;15270,05;18810,78;16696,38;13341,62;152253,05
"150760 São Miguel do Guamá";-;-;148,21;166820,13;157445,61;171108,79;140932,07;117474,85;129207,17;146688,72;146912,08;1176737,63
"150770 São Sebastião da Boa Vista";-;-;100,22;29002,42;27587,43;26037,00;11273,36;12321,37;17291,47;15814,18;19436,98;158864,43
"150775 Sapucaia";1129,70;1219,90;732,60;11660,54;12580,12;15491,84;7818,87;8817,96;8205,61;11221,42;17057,30;95935,86
"150780 Senador José Porfírio";-;157,50;28408,50;18213,60;13277,60;14668,89;8955,13;8848,08;15007,92;11222,16;18684,33;137443,71
"150790 Soure";-;-;389,55;52513,73;57001,68;49050,99;49200,34;24539,53;36717,04;34243,78;44119,12;347775,76
"150795 Tailândia";990,00;1700,00;3769,35;233456,07;158382,22;223149,72;144657,62;163441,87;256697,14;273314,82;286200,58;1745759,39
"150796 Terra Alta";-;-;207,01;16949,72;24953,70;19469,53;14453,73;15374,03;19878,45;28003,37;19703,25;158992,79
"150797 Terra Santa";-;-;-;41664,63;24120,20;16985,82;8696,52;21142,62;18323,41;4983,38;8445,82;144362,40
"150800 Tomé-Açu";-;10,00;321,12;164988,51;146476,68;111663,46;105395,23;105665,35;121128,96;116323,41;78136,24;950108,96
"150803 Tracuateua";-;10,00;158,18;93358,93;110268,01;94683,94;65312,26;66694,62;59398,93;61516,44;75532,01;626933,32
"150805 Trairão";-;-;-;46955,16;43029,48;144882,76;18098,14;36694,42;23048,18;38892,59;45727,42;397328,15
"150808 Tucumã";-;-;-;122608,95;108923,69;96976,32;33849,55;68076,64;77929,53;92776,78;114607,31;715748,77
"150810 Tucuruí";-;33,27;2754,41;602227,59;661872,05;632313,25;296852,15;323055,39;337617,31;390895,87;446684,77;3694306,06
"150812 Ulianópolis";45,00;-;28,87;110142,32;118531,02;116085,50;111434,64;91391,96;99233,56;107628,60;107698,86;862220,33
"150815 Uruará";187,33;426,96;623,63;182650,95;175581,06;217647,31;112946,91;50368,68;45024,20;58519,71;59027,20;903003,94
"150820 Vigia";-;-;199,38;142645,25;116688,52;130235,39;95918,44;102258,97;106490,51;117136,66;92010,55;903583,67
"150830 Viseu";-;-;886,79;102964,28;105287,55;97675,80;77117,98;39070,94;38926,99;43596,41;43735,33;549262,07
"150835 Vitória do Xingu";45,00;45,00;135,00;30578,92;50444,68;35545,76;31038,66;31051,92;31956,66;33542,25;30982,62;275366,47
"150840 Xinguara";-;-;-;172176,97;158006,81;153428,77;118588,94;125416,46;193275,51;180441,79;167647,82;1268983,07
"160010 Amapá";7,30;7,30;63,31;9816,38;6174,89;4649,83;3760,89;35,22;1859,20;5598,00;2302,52;34274,84
"160020 Calçoene";-;21,57;1353,00;4376,67;4305,97;6697,99;782,69;349,94;398,82;1560,42;1753,44;21600,51
"160021 Cutias";499,41;93,91;-;3859,11;3094,01;3146,55;2531,57;3461,01;835,20;854,34;1701,74;20076,85
"160023 Ferreira Gomes";-;-;4028,66;4024,74;5609,99;6494,29;6217,25;6191,18;1222,14;2249,74;3606,80;39644,79
"160025 Itaubal";-;218,01;-;639,44;974,89;1127,07;939,12;79,75;103,95;103,95;476,86;4663,04
"160027 Laranjal do Jari";-;7849,69;8178,12;54186,22;42540,03;35689,14;19548,57;20806,44;11493,78;20472,66;19678,96;240443,61
