 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"351440 Dracena";-;-;-;-;-;1;2;8;3;2;4;2;4;5;3;5;4;5;9;6;4;4;2;6;2;9;7;10;3;6;2;2;8;5;3;8;5;4;4;1;5;3;4;3;2;6;1;4;5;5;3;6;2;4;2;5;6;4;1;4;3;5;3;3;3;-;3;3;1;4;5;4;4;2;2;4;2;3;1;2;2;9;3;3;6;2;3;6;1;4;13;3;3;5;3;1;3;3;-;3;2;2;2;3;-;6;6;1;4;15;1;408
"351450 Duartina";-;-;-;-;-;-;4;10;5;2;8;7;6;9;7;3;5;6;3;4;6;2;9;4;5;3;2;5;3;2;2;3;3;1;10;2;1;3;1;2;3;2;1;-;3;2;-;1;4;2;-;-;-;1;1;-;-;1;5;-;1;2;-;3;-;1;5;1;-;2;2;1;4;1;2;-;-;5;2;1;-;1;1;1;1;2;-;4;1;2;2;2;3;1;4;1;3;3;1;2;-;-;-;-;-;1;-;2;7;-;-;252
"351460 Dumont";-;-;-;-;-;-;1;2;3;-;-;4;1;1;1;1;-;-;-;-;-;1;2;1;-;2;-;1;-;3;1;1;1;1;1;-;-;-;1;-;-;1;-;1;-;2;-;-;1;-;-;2;1;-;-;1;1;-;2;1;-;-;-;1;-;-;-;-;1;1;1;2;-;1;-;-;2;-;1;1;-;2;2;4;2;2;-;1;4;1;-;1;-;-;1;-;1;1;2;2;1;-;4;1;2;2;3;-;-;1;-;94
"351470 Echaporã";-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;-;2;-;1;-;2;-;-;-;-;-;-;2;1;2;1;-;-;-;-;-;1;2;-;1;-;-;-;-;1;-;-;1;2;5;-;-;2;-;-;-;-;-;3;1;-;2;-;-;1;-;1;-;1;-;1;2;4;1;1;-;-;-;-;-;1;-;2;1;1;1;1;1;1;-;2;1;3;2;-;-;3;1;-;-;1;-;1;-;-;1;3;-;-;1;2;79
"351480 Eldorado";-;-;-;-;-;-;1;-;3;2;-;2;1;1;2;1;-;-;-;1;-;1;1;2;-;1;-;-;1;-;2;-;-;2;1;-;1;1;-;-;-;1;-;-;1;-;-;-;2;2;-;1;-;-;-;3;-;2;1;-;-;-;1;2;-;1;-;-;1;1;1;2;1;-;2;-;1;-;-;1;-;-;-;-;-;1;-;1;1;1;-;1;-;-;-;1;-;1;1;-;2;1;-;-;-;1;-;-;1;-;1;68
"351490 Elias Fausto";-;-;-;-;-;-;-;4;1;-;1;2;2;1;1;-;1;2;1;-;1;-;1;-;-;-;4;-;1;-;-;2;-;-;5;2;-;1;1;2;1;-;3;-;2;5;2;1;1;-;-;3;1;-;-;1;2;1;2;4;1;-;1;1;2;-;2;2;1;2;-;2;1;1;1;1;1;-;1;1;-;-;-;2;4;1;-;1;1;1;1;-;2;1;1;2;2;1;2;1;5;1;-;-;2;3;4;3;3;1;1;132
"351492 Elisiário";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;2;1;2;-;1;1;-;1;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;1;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;32
"351495 Embaúba";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;2;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;1;2;1;1;-;-;-;3;-;-;-;-;1;-;-;1;-;1;-;-;2;-;-;-;32
"351500 Embu das Artes";-;1;-;-;1;6;18;33;24;29;34;21;23;19;27;23;26;29;17;20;16;22;21;19;17;14;24;15;16;14;14;18;21;28;15;26;23;20;16;26;29;17;19;30;18;29;35;30;21;25;27;18;16;19;21;22;21;25;19;27;18;12;22;26;19;30;10;19;22;28;22;24;15;31;25;24;22;25;24;24;19;24;25;26;18;19;18;14;34;27;25;30;17;11;26;21;22;17;24;13;33;20;21;25;14;17;17;30;31;21;11;2316
"351510 Embu-Guaçu";-;-;-;1;2;1;2;8;1;4;8;4;3;4;7;2;6;8;6;2;3;4;6;9;3;2;3;5;5;5;5;5;4;6;4;8;1;2;1;3;2;2;1;4;4;3;3;6;6;4;5;5;6;6;6;11;9;6;2;4;2;9;1;5;2;5;9;6;3;4;6;1;2;1;1;3;2;7;5;1;1;4;1;1;3;7;5;5;7;5;7;8;3;3;4;4;8;4;10;9;7;8;4;3;5;5;8;9;13;26;14;524
"351512 Emilianópolis";-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;17
"351515 Engenheiro Coelho";-;-;-;-;1;-;-;1;1;3;1;5;-;3;-;1;2;2;2;2;-;1;1;-;3;2;1;2;1;-;-;-;-;2;2;3;2;1;-;3;-;-;1;1;3;1;1;4;2;3;2;2;4;2;-;1;3;2;1;6;1;-;1;2;3;2;-;2;1;3;2;2;1;2;3;-;2;3;3;1;2;4;5;4;3;3;4;2;2;-;1;2;1;-;2;1;2;-;3;1;-;2;1;1;-;1;1;-;3;2;-;174
"351518 Espírito Santo do Pinhal";-;-;-;-;-;-;3;1;1;1;3;4;-;5;6;7;3;3;2;5;2;2;3;1;2;2;3;-;2;2;7;-;1;4;3;2;1;2;2;2;4;1;3;2;3;1;1;3;4;4;5;2;8;2;1;3;5;1;4;1;1;6;1;2;1;1;5;2;1;1;2;3;1;-;1;5;2;2;1;2;4;4;6;2;1;4;3;2;5;5;4;3;1;5;3;2;3;2;5;3;1;4;2;6;4;2;3;1;6;4;6;291
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;2;4;1;2;1;-;-;1;-;-;-;1;1;1;-;1;-;2;-;1;1;-;1;1;-;2;1;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;-;2;1;-;1;-;1;-;2;-;2;-;2;-;4;2;1;1;3;-;1;1;1;1;1;1;-;1;2;2;-;-;-;1;2;-;69
"355730 Estiva Gerbi";-;-;-;-;-;1;1;-;1;-;1;3;2;1;-;1;1;4;1;2;1;2;2;2;1;1;2;2;3;1;-;1;-;-;3;1;-;1;-;2;1;-;3;1;1;-;2;5;1;1;-;2;2;1;1;2;-;1;2;3;3;3;1;2;2;1;1;4;3;1;1;2;-;3;-;1;2;4;1;3;-;2;-;2;6;1;2;1;2;2;1;1;1;-;4;1;1;2;2;2;1;1;2;2;3;3;-;2;1;2;1;162
"351520 Estrela d'Oeste";-;-;-;-;-;-;1;4;3;2;2;12;3;-;1;-;3;1;1;-;-;1;-;-;1;2;-;-;1;1;3;4;1;1;-;1;1;-;-;-;-;1;-;-;2;1;-;2;-;-;1;-;2;-;-;1;-;1;-;-;-;-;2;-;1;-;-;1;-;-;3;-;1;1;-;-;-;-;-;-;2;1;-;1;1;1;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;1;-;84
"351530 Estrela do Norte";-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;24
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;2;1;3;-;1;1;-;-;2;1;1;1;1;-;-;4;-;-;1;2;1;1;-;1;1;-;1;1;1;1;-;1;1;1;-;2;1;1;1;-;1;1;-;1;4;3;1;-;-;1;-;1;1;1;1;3;3;3;1;-;1;1;2;-;1;-;-;3;1;1;1;2;-;1;1;-;1;1;3;1;1;1;-;-;-;2;-;3;-;2;2;-;1;-;1;101
"351540 Fartura";-;-;-;-;-;-;-;2;3;4;3;3;2;-;1;3;3;1;2;4;4;7;4;8;6;2;1;1;7;3;3;1;2;1;-;1;2;3;4;1;2;1;2;2;2;5;4;2;2;2;4;3;3;3;1;2;1;5;7;3;-;1;1;3;2;1;3;2;3;7;5;-;-;5;3;2;2;3;1;4;4;4;3;5;3;5;3;3;2;3;4;1;3;4;4;3;1;4;7;1;1;1;3;3;1;2;-;-;1;6;1;282
"351560 Fernando Prestes";-;-;-;-;-;-;-;1;1;2;-;-;-;1;1;1;1;3;1;-;-;-;-;1;1;-;-;1;-;2;-;-;1;-;-;-;-;3;1;-;-;-;-;-;-;1;1;1;2;2;-;2;-;-;-;-;-;-;-;1;1;-;3;2;-;1;-;1;-;-;2;1;-;-;-;-;2;1;2;-;-;-;1;1;1;1;-;2;1;-;1;-;-;1;-;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;61
"351550 Fernandópolis";-;-;-;-;1;-;1;6;5;8;8;11;4;5;5;5;10;8;6;4;7;6;7;6;9;5;3;8;6;6;3;6;9;10;10;9;6;9;14;11;5;4;4;10;10;11;8;12;3;8;6;6;3;2;9;4;7;4;1;8;2;6;9;7;4;4;5;7;6;4;7;8;6;8;6;7;8;4;2;8;7;3;6;4;3;5;5;5;5;1;5;5;2;12;4;8;8;6;4;4;2;8;1;6;4;5;7;2;2;3;1;623
"351565 Fernão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;13
"351570 Ferraz de Vasconcelos";-;-;-;1;2;4;9;14;6;14;19;12;13;5;17;13;15;8;9;16;16;12;22;12;18;17;20;13;22;16;4;23;10;11;14;20;11;18;10;15;14;14;12;14;15;13;5;12;9;14;15;9;12;16;9;11;13;12;11;12;7;13;13;14;8;10;14;15;18;11;13;11;14;11;14;12;10;9;13;20;19;11;23;14;17;16;14;17;13;12;14;12;8;15;27;8;17;8;13;8;11;14;11;14;13;21;13;19;19;14;11;1419
"351580 Flora Rica";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;14
"351590 Floreal";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;23
"351600 Flórida Paulista";-;-;-;-;-;-;-;3;4;4;2;4;1;3;1;1;1;2;2;2;3;8;2;1;3;3;1;2;5;2;2;3;7;2;5;8;3;3;-;6;6;3;1;5;-;1;4;2;1;2;2;6;1;2;2;3;2;7;1;3;3;3;-;3;3;1;4;7;5;3;4;2;2;1;4;3;-;1;3;4;3;2;3;2;1;3;2;3;1;4;2;1;1;7;3;3;3;3;2;2;2;2;5;6;6;1;-;1;5;1;3;292
"351610 Florínia";-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;2;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;27
"351620 Franca";-;-;-;-;-;3;12;21;19;22;23;29;29;25;19;33;35;29;22;20;26;35;31;20;30;30;29;28;28;29;27;26;19;29;34;35;24;24;26;24;22;29;29;30;25;35;41;47;33;50;41;39;42;33;28;31;31;30;44;38;36;27;21;44;29;39;29;35;23;40;36;51;35;31;39;45;55;23;38;46;48;44;43;42;42;42;34;35;31;23;30;39;44;42;33;48;49;51;47;42;34;42;44;42;35;52;33;43;37;40;24;3550
"351630 Francisco Morato";-;-;-;-;-;1;9;24;11;14;21;22;23;11;13;8;19;15;15;16;11;27;20;27;27;17;19;18;13;10;17;19;12;22;17;24;15;32;21;32;20;22;14;16;17;19;24;15;21;12;23;11;22;19;18;17;16;14;24;16;16;18;23;21;16;13;11;11;18;22;24;25;26;18;27;19;16;14;21;9;7;11;14;19;20;20;17;17;24;23;14;16;8;11;30;20;19;20;19;17;16;15;12;15;11;22;21;27;11;16;4;1866
"351640 Franco da Rocha";-;-;1;-;1;3;1;12;5;9;10;13;13;10;6;16;7;4;7;14;8;8;13;11;13;17;10;16;9;6;7;4;13;10;12;15;12;8;6;12;8;4;6;4;4;7;12;4;8;6;9;11;6;5;6;3;7;10;17;8;5;8;9;10;6;3;6;4;6;14;13;8;13;13;5;10;10;6;5;6;6;3;14;13;8;6;6;8;8;12;17;10;4;17;14;8;10;9;7;11;4;6;6;7;8;9;14;12;11;18;2;935
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;1;-;2;2;1;-;2;1;-;1;1;-;-;1;1;-;-;-;1;2;-;-;-;1;1;-;-;1;-;-;-;1;-;-;-;3;2;-;-;-;-;-;2;-;-;1;1;-;-;-;-;-;1;3;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;1;3;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;48
"351660 Gália";-;-;-;-;-;-;-;-;2;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;1;1;4;1;1;1;2;1;1;1;2;-;1;1;2;2;-;1;-;1;-;1;1;1;-;2;-;1;2;2;3;-;-;1;-;-;-;5;-;-;2;-;1;2;-;1;2;1;-;1;4;-;1;1;-;1;2;1;1;4;-;1;-;-;-;1;-;3;-;-;1;1;-;1;-;-;1;-;1;-;1;3;-;1;1;-;1;91
"351670 Garça";-;-;-;-;-;-;-;4;1;1;1;3;1;3;1;2;2;2;4;6;5;6;5;6;4;4;3;5;4;2;2;3;1;4;1;6;6;2;5;3;1;5;3;2;4;3;3;2;3;5;4;3;3;-;2;3;3;1;5;5;4;3;5;4;-;1;3;2;6;5;5;7;4;3;8;2;5;3;3;3;4;6;9;5;4;1;5;6;4;4;5;4;-;3;7;4;3;6;6;3;7;9;9;3;5;5;4;1;4;2;2;384
"351680 Gastão Vidigal";-;-;-;-;-;-;-;-;-;1;2;1;-;-;1;1;1;-;-;2;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;2;-;-;-;-;-;-;1;-;2;1;1;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;-;-;32
"351685 Gavião Peixoto";-;-;-;-;-;1;-;-;-;-;1;-;-;2;3;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;2;2;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;-;1;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;32
"351690 General Salgado";-;-;-;-;-;-;-;-;-;1;-;1;1;1;2;-;1;-;-;-;-;-;2;2;-;1;1;-;-;-;1;1;-;-;-;3;1;-;-;-;1;1;-;1;-;1;1;-;1;-;4;3;-;1;2;1;2;2;2;-;2;3;2;-;4;2;2;3;1;2;3;1;5;1;2;-;1;1;-;1;5;1;2;2;1;3;-;1;-;1;4;2;-;-;-;-;-;-;1;-;2;-;-;-;3;1;1;-;-;1;1;110
"351700 Getulina";-;-;-;-;-;-;1;-;-;2;-;-;1;1;-;-;-;-;1;2;2;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;2;-;-;1;2;-;-;-;-;1;2;2;1;3;-;-;1;1;-;1;-;1;-;-;1;-;-;1;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;1;-;-;1;-;-;1;48
"351710 Glicério";-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;1;1;-;-;-;-;1;-;-;1;-;-;-;-;2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;2;-;28
"351720 Guaiçara";-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;1;3;2;-;-;1;2;1;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;2;3;1;-;-;-;-;1;-;1;1;1;1;-;1;1;1;-;-;-;-;-;2;-;-;1;3;2;-;2;1;-;-;1;-;1;2;-;2;3;2;-;1;1;-;2;-;1;-;-;1;-;67
"351730 Guaimbê";-;-;-;-;-;1;1;-;-;-;-;1;1;1;2;-;-;1;1;-;2;-;1;-;-;1;3;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;1;-;-;-;1;2;1;-;1;1;-;-;2;1;2;2;1;2;-;-;-;-;1;-;1;-;2;-;-;-;-;-;1;-;-;-;1;1;-;1;2;-;1;-;1;2;1;-;1;1;2;-;-;58
"351740 Guaíra";-;-;-;-;-;1;-;3;1;1;2;-;1;4;3;1;-;1;3;6;3;3;4;-;2;-;2;3;1;1;1;1;1;4;1;2;3;1;2;-;3;5;4;2;3;3;2;-;2;3;3;6;7;1;1;3;5;-;3;3;7;4;3;2;1;3;2;-;2;1;-;6;-;1;8;4;1;7;3;1;2;1;1;2;3;3;4;4;3;5;3;2;1;3;-;2;2;2;3;1;2;3;-;3;6;6;1;5;2;3;-;255
"351750 Guapiaçu";-;-;-;-;-;1;2;1;3;-;2;2;3;2;1;1;2;1;-;3;1;1;2;1;4;2;1;1;1;-;1;2;1;-;5;1;1;3;2;1;1;2;2;2;-;2;-;1;1;2;2;1;1;-;2;2;-;3;2;4;2;-;1;5;2;-;3;2;3;1;4;6;5;6;4;2;-;3;1;1;4;6;5;3;2;3;4;2;4;3;2;1;1;5;1;-;1;1;1;3;1;2;2;1;1;4;1;3;1;-;2;206
"351760 Guapiara";-;-;-;-;2;1;-;1;1;1;-;1;3;-;-;3;4;-;1;-;1;1;-;1;4;3;5;1;2;-;-;1;-;1;-;1;2;1;-;1;3;3;3;1;1;1;-;1;-;1;-;1;-;-;2;4;1;-;3;1;-;2;2;2;-;1;3;-;3;-;3;3;3;2;1;3;2;-;2;1;2;2;1;2;2;1;1;1;1;-;4;1;1;1;3;2;2;3;2;4;1;1;2;1;4;2;5;3;-;-;-;157
"351770 Guará";-;-;-;-;-;-;-;5;-;3;1;2;2;1;-;1;1;-;-;1;-;2;3;3;2;-;1;-;-;2;-;1;-;3;2;1;1;-;-;-;2;2;-;3;2;1;2;1;5;1;1;2;-;1;1;-;2;2;3;-;-;-;-;1;-;-;2;1;2;2;4;1;-;1;-;-;3;1;1;1;2;3;1;1;2;-;1;2;-;-;2;4;1;-;1;-;3;4;-;2;2;-;3;2;2;5;1;2;-;1;1;137
"351780 Guaraçaí";-;-;-;-;-;-;-;1;-;-;-;4;-;-;2;-;-;1;2;3;1;-;-;1;-;1;-;-;-;-;-;1;-;1;3;2;-;1;-;-;1;2;1;1;-;-;1;1;1;-;1;1;1;1;-;-;1;-;-;-;2;-;2;2;3;-;-;-;-;2;-;-;2;1;1;-;1;1;-;1;-;2;2;2;3;-;1;-;4;-;-;2;1;-;2;-;2;1;1;-;1;2;1;-;1;2;-;1;1;2;-;89
"351790 Guaraci";-;-;-;-;-;-;-;-;1;1;4;-;2;2;2;3;-;-;-;-;1;1;-;1;2;-;2;-;1;-;-;2;1;-;-;-;1;1;1;-;2;2;-;1;-;-;-;3;2;2;-;1;-;1;2;-;1;1;-;1;1;1;-;1;1;-;3;-;2;1;2;1;1;2;-;2;2;-;-;-;1;1;1;-;1;-;1;1;-;-;-;1;-;-;-;-;1;-;-;1;2;-;1;-;2;1;1;1;-;1;1;87
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;4;-;-;-;-;-;1;-;-;1;1;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;21
"351810 Guarantã";-;-;-;-;-;-;-;-;1;-;1;-;4;3;-;-;1;-;2;2;-;-;3;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;1;-;2;-;1;-;1;-;2;-;-;-;-;-;1;1;-;-;2;-;-;1;-;-;2;-;2;1;-;-;-;1;1;2;3;1;-;3;-;-;1;1;1;-;2;-;1;1;4;2;2;5;1;3;1;-;2;-;2;4;3;1;89
"351820 Guararapes";-;-;-;-;-;-;-;5;4;4;8;7;5;9;6;5;6;4;10;6;2;4;5;9;3;6;8;1;5;2;3;4;4;7;7;5;6;4;5;4;6;5;5;5;5;4;4;6;7;2;7;8;6;7;7;4;2;3;9;2;9;2;2;3;4;3;4;6;6;1;3;7;7;1;3;1;2;1;3;3;3;2;1;2;5;3;6;3;11;7;6;3;7;2;-;5;6;4;4;4;1;4;6;5;2;8;4;4;2;2;-;470
"351830 Guararema";-;-;-;-;-;-;6;-;3;4;4;5;2;3;2;4;2;2;3;2;4;2;4;-;3;1;1;2;4;2;-;3;-;1;2;-;2;1;1;4;1;1;-;5;1;1;1;2;2;-;1;-;-;2;3;1;4;2;1;1;1;-;2;2;3;3;4;6;2;2;6;2;8;2;3;3;1;2;1;2;-;3;4;1;4;-;5;3;-;-;1;2;2;-;-;2;5;5;1;7;3;2;2;7;3;5;-;5;2;9;5;251
"351840 Guaratinguetá";-;-;-;-;-;2;4;3;13;7;5;8;-;5;3;3;7;5;9;8;5;3;8;7;7;3;5;9;7;5;11;9;13;9;3;5;8;6;5;4;6;4;8;6;7;9;8;11;7;7;10;5;10;9;13;12;6;12;7;9;9;8;9;8;13;8;8;10;2;9;6;8;6;7;3;12;4;4;6;4;5;5;7;10;6;8;8;5;9;5;2;9;10;6;15;11;10;8;10;13;18;10;8;9;4;7;7;17;16;9;11;802
"351850 Guareí";-;-;-;-;-;-;1;1;-;3;1;1;1;3;-;-;-;1;-;-;1;1;1;2;-;1;1;-;2;-;-;-;1;3;-;1;-;-;1;1;-;-;-;3;-;1;-;1;-;-;-;1;-;1;1;-;-;-;-;-;-;1;1;3;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;1;-;1;-;-;1;1;-;-;-;4;-;1;-;-;1;1;-;-;1;2;2;3;1;2;1;2;-;72
"351860 Guariba";-;-;-;-;-;-;-;4;3;4;5;5;3;1;2;2;5;5;1;1;6;4;7;4;3;-;2;2;3;6;2;5;4;2;3;2;6;4;4;4;2;1;2;2;4;1;6;7;3;1;3;1;2;1;-;5;6;4;4;2;5;3;2;2;2;4;2;4;-;3;5;6;3;1;4;1;2;2;2;2;1;4;2;1;4;3;6;3;5;5;4;2;2;5;4;3;4;2;2;1;2;1;3;3;4;3;3;6;2;2;1;319
"351870 Guarujá";-;-;-;1;4;16;24;33;24;37;46;38;47;58;36;39;34;32;22;40;38;38;29;27;26;24;28;30;32;23;26;22;41;41;34;40;36;39;26;34;39;38;38;41;44;48;49;33;32;38;37;35;33;27;35;29;29;38;25;32;27;32;40;28;24;20;26;29;32;42;40;40;47;40;29;33;31;38;34;22;32;34;39;45;22;26;24;33;26;26;33;18;27;31;31;41;32;41;23;26;33;27;33;36;29;31;38;26;22;31;22;3477
