 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2018-2019
"Município";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"Total"
"120080 Porto Acre";-;-;841,00;28878,99;37223,83;29259,08;31417,31;29021,36;22957,08;32055,96;25539,76;24706,09;25992,64;24274,44;19721,24;36573,21;36552,13;42994,95;37465,70;34668,94;30683,49;27578,04;36768,93;39207,71;47613,25;32462,98;44150,72;778608,83
"120039 Porto Walter";-;-;2380,20;17048,96;22270,08;32555,05;8020,99;5704,08;5318,02;6402,23;5103,51;9893,50;6959,20;8128,09;4260,12;4337,67;5143,75;4464,28;15659,94;13756,90;16875,48;6260,15;11670,14;16571,33;9105,87;12757,71;5983,35;256630,60
"120040 Rio Branco";118,80;4491,71;50635,94;2176168,43;1867874,92;2369119,14;2361016,55;2199865,31;2078662,42;2177386,13;2203714,78;2208911,70;2106810,53;1928797,06;2200016,09;2177546,57;2057974,93;2217169,45;2452733,03;2536150,48;2188830,74;2353786,81;2330648,83;2235397,58;2897931,13;2474882,64;2400635,64;54257277,34
"120042 Rodrigues Alves";-;-;2201,37;19853,89;11253,79;12278,28;10130,98;13250,05;15158,94;14444,56;14105,67;20437,10;19346,18;18356,18;11741,90;14134,02;13307,92;12096,90;14589,78;21096,11;21097,35;16057,00;24041,69;22581,55;19461,37;18005,08;16957,65;395985,31
"120043 Santa Rosa do Purus";-;-;-;15032,62;15662,07;9006,40;22110,17;12288,56;10970,64;15012,23;14121,22;14102,24;6841,27;2788,97;3241,99;4957,62;11082,95;11915,53;8425,34;12775,03;11545,02;7167,37;14410,20;9735,47;14543,24;13260,58;11979,91;272976,64
"120050 Sena Madureira";-;2035,00;2686,25;63003,38;57818,31;51340,47;54167,26;66743,22;72394,84;52517,00;60693,51;45808,22;45979,31;44595,76;33980,31;65566,35;73532,88;79722,70;87515,25;73226,65;52477,49;59881,73;43864,59;49514,06;77164,63;47612,56;54812,95;1418654,68
"120045 Senador Guiomard";-;-;748,46;42952,23;32230,18;39690,36;48332,37;52336,88;43513,86;43594,08;51204,76;46953,91;45199,58;40834,60;42598,52;39459,31;45244,00;44472,98;42531,94;45214,03;40854,59;38328,38;52973,33;40608,84;59851,52;44281,41;37591,41;1061601,53
"120060 Tarauacá";-;137,00;5391,50;71041,78;43879,54;54821,58;39382,15;61498,04;85847,90;81059,00;84849,85;81428,52;75746,72;90938,49;74412,69;69922,67;58263,80;52774,36;36830,96;41195,20;34393,03;53184,93;52897,66;47650,15;50206,28;43520,57;25674,99;1416949,36
"120070 Xapuri";-;-;-;25927,33;21328,30;16000,52;19193,39;41690,54;40641,54;19549,10;31040,15;22009,44;25065,64;19828,91;31350,46;17915,31;18358,73;28749,70;27301,71;20485,84;24118,34;35842,23;28839,55;28369,88;34953,47;32560,21;32028,69;643148,98
"120000 Município ignorado - AC";-;-;-;-;-;201,02;17,04;-;96,77;37,50;-;26,42;-;-;37,95;90,66;57,29;-;17,04;49,44;-;-;-;-;37,95;-;79,05;748,13
"130002 Alvarães";-;-;-;6698,05;15126,92;20155,19;18881,02;10063,27;18693,15;19671,92;28701,49;27894,18;15850,18;15891,56;14648,20;15689,57;11388,72;18544,57;20886,99;14608,73;13421,24;26163,19;22196,72;20522,39;5270,78;1669,65;14829,06;397466,74
"130006 Amaturá";-;-;871,25;903,39;697,88;1515,75;2208,40;842,78;1124,81;25525,04;984,87;2028,21;1980,02;1569,48;7602,11;511,40;659,14;1756,17;2883,72;3220,28;2896,25;4953,71;9440,77;10759,27;6197,60;10423,97;5138,87;106695,14
"130008 Anamã";6,97;853,05;2529,82;587,01;2165,17;2279,21;6799,51;17471,09;3656,25;17949,60;15480,42;7868,35;8634,43;10236,72;9879,10;9140,96;8838,24;8859,74;9201,27;15943,04;9461,53;11520,06;11265,83;9546,17;11834,95;20301,68;15789,89;248100,06
